"Route ID","Route Code","Depot Id","Depot Name",Location,"Agent ID","Agent Code","Agent name","Region ID","Region Name","Sub Region ID","Sub Region Name",Country,"Regional Sales Manager ID","Regional Sales Manager Name","Regional Sales Manager Data","Area Sales Supervisor ID","Area Sales Supervisor Name","Area Sales Supervisor Data"
543,RT0529,4,"Atuwanguza Investments Ltd - Abaita",ABAITA,3,HC00000003,"Atuwanguza Investments Ltd - Abaita",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
9,RT0009,5,"Balanced Traders Co Limited - Kisugu",KISUGU,4,HC00000004,"Balanced Traders Co. Ltd - Kisugu",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
10,RT0010,5,"Balanced Traders Co Limited - Kisugu",KISUGU,4,HC00000004,"Balanced Traders Co. Ltd - Kisugu",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
11,RT0011,5,"Balanced Traders Co Limited - Kisugu",KISUGU,4,HC00000004,"Balanced Traders Co. Ltd - Kisugu",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
245,RT0232,5,"Balanced Traders Co Limited - Kisugu",KISUGU,4,HC00000004,"Balanced Traders Co. Ltd - Kisugu",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
14,RT0014,6,"Barak Investments Ltd - Kibibi",KIBIBI,5,HC00000005,"Barak Investments Ltd - Kibibi -BLOCKED",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",184,"NB3 Dorothy","184-NB3 Dorothy"
246,RT0233,6,"Barak Investments Ltd - Kibibi",KIBIBI,5,HC00000005,"Barak Investments Ltd - Kibibi -BLOCKED",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",184,"NB3 Dorothy","184-NB3 Dorothy"
12,RT0012,7,"Barak Investments Ltd - Kanoni",KANONI,6,HC00000006,"Barak Investments Ltd - Kanoni -BLOCKED",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",184,"NB3 Dorothy","184-NB3 Dorothy"
13,RT0013,7,"Barak Investments Ltd - Kanoni",KANONI,6,HC00000006,"Barak Investments Ltd - Kanoni -BLOCKED",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",184,"NB3 Dorothy","184-NB3 Dorothy"
247,RT0234,7,"Barak Investments Ltd - Kanoni",KANONI,6,HC00000006,"Barak Investments Ltd - Kanoni -BLOCKED",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",184,"NB3 Dorothy","184-NB3 Dorothy"
15,RT0015,8,"Bob & Sons Business Solutions - Kayunga",KAYUNGA,7,HC00000007,"Bob & Sons Business Solutions - Kayunga",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
16,RT0016,8,"Bob & Sons Business Solutions - Kayunga",KAYUNGA,7,HC00000007,"Bob & Sons Business Solutions - Kayunga",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
248,RT0235,8,"Bob & Sons Business Solutions - Kayunga",KAYUNGA,7,HC00000007,"Bob & Sons Business Solutions - Kayunga",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
17,RT0017,9,"Budaka Devt Associates Co. Ltd - Ndeeba",NDEEBA,8,HC00000008,"Budaka Devt Associates Co.Ltd-Ndeeba",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
18,RT0018,9,"Budaka Devt Associates Co. Ltd - Ndeeba",NDEEBA,8,HC00000008,"Budaka Devt Associates Co.Ltd-Ndeeba",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
19,RT0019,9,"Budaka Devt Associates Co. Ltd - Ndeeba",NDEEBA,8,HC00000008,"Budaka Devt Associates Co.Ltd-Ndeeba",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
249,RT0236,9,"Budaka Devt Associates Co. Ltd - Ndeeba",NDEEBA,8,HC00000008,"Budaka Devt Associates Co.Ltd-Ndeeba",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
20,RT0020,10,"Bullen General Stores - kamengo",KAMENGO,9,HC00000009,"Bullen General Stores - kamengo",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",184,"NB3 Dorothy","184-NB3 Dorothy"
21,RT0021,10,"Bullen General Stores - kamengo",KAMENGO,9,HC00000009,"Bullen General Stores - kamengo",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",184,"NB3 Dorothy","184-NB3 Dorothy"
250,RT0237,10,"Bullen General Stores - kamengo",KAMENGO,9,HC00000009,"Bullen General Stores - kamengo",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",184,"NB3 Dorothy","184-NB3 Dorothy"
22,RT0022,11,"Buske Investments Ltd - Kyebando",KYEBANDO,10,HC00000010,"Buske Investments Ltd - Kyebando-BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
24,RT0023,11,"Buske Investments Ltd - Kyebando",KYEBANDO,10,HC00000010,"Buske Investments Ltd - Kyebando-BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
251,RT0238,11,"Buske Investments Ltd - Kyebando",KYEBANDO,10,HC00000010,"Buske Investments Ltd - Kyebando-BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
25,RT0024,12,"Ccaab Investments Ltd - Kasubi",KASUBI,11,HC00000011,"CCAAB Investments Ltd - Kasubi -BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",396,"SB2 Musoke David","396-SB2 Musoke David"
26,RT0025,12,"Ccaab Investments Ltd - Kasubi",KASUBI,11,HC00000011,"CCAAB Investments Ltd - Kasubi -BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",396,"SB2 Musoke David","396-SB2 Musoke David"
252,RT0239,12,"Ccaab Investments Ltd - Kasubi",KASUBI,11,HC00000011,"CCAAB Investments Ltd - Kasubi -BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",396,"SB2 Musoke David","396-SB2 Musoke David"
27,RT0026,13,"Fatia Traders - Nakifuma",NAKIFUMA,12,HC00000012,"Fatia Traders - Nakifuma",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
28,RT0027,13,"Fatia Traders - Nakifuma",NAKIFUMA,12,HC00000012,"Fatia Traders - Nakifuma",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
253,RT0240,13,"Fatia Traders - Nakifuma",NAKIFUMA,12,HC00000012,"Fatia Traders - Nakifuma",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
29,RT0028,14,"Firimusa Co ltd - Nsangi",NSANGI,13,HC00000013,"Firimusa Co Ltd - Nsangi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
30,RT0029,14,"Firimusa Co ltd - Nsangi",NSANGI,13,HC00000013,"Firimusa Co Ltd - Nsangi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
31,RT0030,14,"Firimusa Co ltd - Nsangi",NSANGI,13,HC00000013,"Firimusa Co Ltd - Nsangi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
32,RT0031,14,"Firimusa Co ltd - Nsangi",NSANGI,13,HC00000013,"Firimusa Co Ltd - Nsangi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
254,RT0241,14,"Firimusa Co ltd - Nsangi",NSANGI,13,HC00000013,"Firimusa Co Ltd - Nsangi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",375,"SB3 Damascus","375-SB3 Damascus"
33,RT0032,15,"Firimusa Co ltd - Wakiso",WAKISO,14,HC00000014,"Firimusa Co Ltd - Wakiso -BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",396,"SB2 Musoke David","396-SB2 Musoke David"
34,RT0033,15,"Firimusa Co ltd - Wakiso",WAKISO,14,HC00000014,"Firimusa Co Ltd - Wakiso -BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",396,"SB2 Musoke David","396-SB2 Musoke David"
255,RT0242,15,"Firimusa Co ltd - Wakiso",WAKISO,14,HC00000014,"Firimusa Co Ltd - Wakiso -BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",396,"SB2 Musoke David","396-SB2 Musoke David"
35,RT0034,16,"Gomansik Distributors ltd - Makindye",MAKINDYE,15,HC00000015,"Gomansik Distributors Ltd - Makindye",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
36,RT0035,16,"Gomansik Distributors ltd - Makindye",MAKINDYE,15,HC00000015,"Gomansik Distributors Ltd - Makindye",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
37,RT0036,16,"Gomansik Distributors ltd - Makindye",MAKINDYE,15,HC00000015,"Gomansik Distributors Ltd - Makindye",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
256,RT0243,16,"Gomansik Distributors ltd - Makindye",MAKINDYE,15,HC00000015,"Gomansik Distributors Ltd - Makindye",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
509,RT0495,16,"Gomansik Distributors ltd - Makindye",MAKINDYE,15,HC00000015,"Gomansik Distributors Ltd - Makindye",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
606,RT0592,16,"Gomansik Distributors ltd - Makindye",MAKINDYE,15,HC00000015,"Gomansik Distributors Ltd - Makindye",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
38,RT0037,17,"Gomansik Distributors ltd - Ndejje",MAKINDYE,16,HC00000016,"Gomansik Distributors Ltd - Ndejje",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
39,RT0038,17,"Gomansik Distributors ltd - Ndejje",MAKINDYE,16,HC00000016,"Gomansik Distributors Ltd - Ndejje",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
257,RT0244,17,"Gomansik Distributors ltd - Ndejje",MAKINDYE,16,HC00000016,"Gomansik Distributors Ltd - Ndejje",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
40,RT0039,18,"Haithara Investments Company Ltd - Mbikko",MBIKO,17,HC00000017,"Haithara Investment CO. Ltd - Mbikko",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
41,RT0040,18,"Haithara Investments Company Ltd - Mbikko",MBIKO,17,HC00000017,"Haithara Investment CO. Ltd - Mbikko",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
258,RT0245,18,"Haithara Investments Company Ltd - Mbikko",MBIKO,17,HC00000017,"Haithara Investment CO. Ltd - Mbikko",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
42,RT0041,19,"Jasswin Enterprises ltd - Gayaza",GAYAZA,18,HC00000018,"Jasswin Enterprises Ltd - Gayaza",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
43,RT0042,19,"Jasswin Enterprises ltd - Gayaza",GAYAZA,18,HC00000018,"Jasswin Enterprises Ltd - Gayaza",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
44,RT0043,19,"Jasswin Enterprises ltd - Gayaza",GAYAZA,18,HC00000018,"Jasswin Enterprises Ltd - Gayaza",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
259,RT0246,19,"Jasswin Enterprises ltd - Gayaza",GAYAZA,18,HC00000018,"Jasswin Enterprises Ltd - Gayaza",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",397,"SB1 James Wamukota","397-SB1 James Wamukota"
45,RT0044,20,"Johnson JB SMC Traders - Ggaba",GGABA,19,HC00000019,"Johnson JB SMC Traders - Ggaba BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
46,RT0045,20,"Johnson JB SMC Traders - Ggaba",GGABA,19,HC00000019,"Johnson JB SMC Traders - Ggaba BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
47,RT0046,20,"Johnson JB SMC Traders - Ggaba",GGABA,19,HC00000019,"Johnson JB SMC Traders - Ggaba BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
48,RT0047,20,"Johnson JB SMC Traders - Ggaba",GGABA,19,HC00000019,"Johnson JB SMC Traders - Ggaba BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
260,RT0247,20,"Johnson JB SMC Traders - Ggaba",GGABA,19,HC00000019,"Johnson JB SMC Traders - Ggaba BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",284,"SB4 Nakiyinga","284-SB4 Nakiyinga"
49,RT0048,21,"Master Kob Investments Ltd - Namugongo",NAMUGONGO,20,HC00000020,"Master Kob Investments Ltd - Namugongo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
50,RT0049,21,"Master Kob Investments Ltd - Namugongo",NAMUGONGO,20,HC00000020,"Master Kob Investments Ltd - Namugongo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
51,RT0050,21,"Master Kob Investments Ltd - Namugongo",NAMUGONGO,20,HC00000020,"Master Kob Investments Ltd - Namugongo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
52,RT0051,21,"Master Kob Investments Ltd - Namugongo",NAMUGONGO,20,HC00000020,"Master Kob Investments Ltd - Namugongo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
53,RT0052,21,"Master Kob Investments Ltd - Namugongo",NAMUGONGO,20,HC00000020,"Master Kob Investments Ltd - Namugongo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
261,RT0248,21,"Master Kob Investments Ltd - Namugongo",NAMUGONGO,20,HC00000020,"Master Kob Investments Ltd - Namugongo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",103,"SB7 Esau","103-SB7 Esau"
54,RT0053,22,"Kabisa General Stores - Lugazi",LUGAZI,21,HC00000021,"Kabisa General stores - Lugazi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
55,RT0054,22,"Kabisa General Stores - Lugazi",LUGAZI,21,HC00000021,"Kabisa General stores - Lugazi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
262,RT0249,22,"Kabisa General Stores - Lugazi",LUGAZI,21,HC00000021,"Kabisa General stores - Lugazi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
443,RT0430,22,"Kabisa General Stores - Lugazi",LUGAZI,21,HC00000021,"Kabisa General stores - Lugazi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
672,RT0658,22,"Kabisa General Stores - Lugazi",LUGAZI,21,HC00000021,"Kabisa General stores - Lugazi",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",376,"SB10 Peter","376-SB10 Peter"
263,RT0250,23,"Equal Power U ltd - Kalisizo",KYOTERA,22,HC00000022,"Equal Power (U) Ltd - Kalisizo -BLOCKED",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
59,RT0058,24,"Equal Power U ltd - Masaka",MASAKA,23,HC00000023,"Equal Power (U) Ltd - Masaka",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
60,RT0059,24,"Equal Power U ltd - Masaka",MASAKA,23,HC00000023,"Equal Power (U) Ltd - Masaka",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
264,RT0251,24,"Equal Power U ltd - Masaka",MASAKA,23,HC00000023,"Equal Power (U) Ltd - Masaka",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
56,RT0055,25,"Equal Power U ltd- Kyotera",KYOTERA,24,HC00000024,"Equal Power (U) Ltd - Kyotera",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
57,RT0056,25,"Equal Power U ltd- Kyotera",KYOTERA,24,HC00000024,"Equal Power (U) Ltd - Kyotera",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
58,RT0057,25,"Equal Power U ltd- Kyotera",KYOTERA,24,HC00000024,"Equal Power (U) Ltd - Kyotera",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
265,RT0252,25,"Equal Power U ltd- Kyotera",KYOTERA,24,HC00000024,"Equal Power (U) Ltd - Kyotera",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
876,RT0861,25,"Equal Power U ltd- Kyotera",KYOTERA,24,HC00000024,"Equal Power (U) Ltd - Kyotera",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
877,RT0862,25,"Equal Power U ltd- Kyotera",KYOTERA,24,HC00000024,"Equal Power (U) Ltd - Kyotera",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
878,RT0863,25,"Equal Power U ltd- Kyotera",KYOTERA,24,HC00000024,"Equal Power (U) Ltd - Kyotera",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",149,"NB4 Farook","149-NB4 Farook"
61,RT0060,26,"Khaki Farm Enterprises Limited - Bombo",BOMBO,25,HC00000025,"Khaki Farm Enterprises Ltd - Bombo",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",101,"NB1 Osman","101-NB1 Osman"
62,RT0061,26,"Khaki Farm Enterprises Limited - Bombo",BOMBO,25,HC00000025,"Khaki Farm Enterprises Ltd - Bombo",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",101,"NB1 Osman","101-NB1 Osman"
266,RT0253,26,"Khaki Farm Enterprises Limited - Bombo",BOMBO,25,HC00000025,"Khaki Farm Enterprises Ltd - Bombo",8,Central2,14,"North Buganda 4",Uganda,294,"Central 2 Coren","294-Central 2 Coren",101,"NB1 Osman","101-NB1 Osman"
63,RT0062,27,"Kifrash Enterprises - Kikuubo",KIKUUBO,26,HC00000026,"Kifrash Enterprises - Kikuubo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",102,"SB5 Joseph","102-SB5 Joseph"
64,RT0063,27,"Kifrash Enterprises - Kikuubo",KIKUUBO,26,HC00000026,"Kifrash Enterprises - Kikuubo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",102,"SB5 Joseph","102-SB5 Joseph"
267,RT0254,27,"Kifrash Enterprises - Kikuubo",KIKUUBO,26,HC00000026,"Kifrash Enterprises - Kikuubo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",102,"SB5 Joseph","102-SB5 Joseph"
442,RT0429,27,"Kifrash Enterprises - Kikuubo",KIKUUBO,26,HC00000026,"Kifrash Enterprises - Kikuubo",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",102,"SB5 Joseph","102-SB5 Joseph"
65,RT0064,28,"Kikami Company Ltd - Nansana",WAKISO,27,HC00000027,"Kikami Company Ltd - Nansana -BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",396,"SB2 Musoke David","396-SB2 Musoke David"
66,RT0065,28,"Kikami Company Ltd - Nansana",WAKISO,27,HC00000027,"Kikami Company Ltd - Nansana -BLOCKED",2,Central1,25,"South Buganda 7",Uganda,107,"Central 1 Jerome","107-Central 1 Jerome",396,"SB2 Musoke David","396-SB2 Musoke David"
